endpoint_id,blockchain
30280,sei
30177,kava
30151,metis
223,b2
30106,avalanche
30295,flare
30324,abstract
30109,polygon
30362,flow_evm
30312,ape
30294,gravity
30168,solana
30165,zksync_era
30217,manta
30181,mantle
30138,fuse
30150,kaia
30330,vana
30235,rari
30332,sonic
30302,peaq
30364,story
30327,superposition
30153,coredao
30284,lota
30145,gnosis
30267,degen
30309,lightlink
30211,aurora
30340,soneium
30255,fraxtal
30214,scroll
30111,optimism
30184,base
30260,mod
34443,mod
30102,bsc
30243,blast
30329,hemi
288,boba
30290,taiko
30183,linea
59144,linea
30110,arbitrum
30303,zircuit
30101,ethereum
1,ethereum 
